feature,mean_abs_shap
SLogP,0.03283558239719231
GATS5c,0.022508954653651183
GATS5d,0.014872510018968867
AXp-7d,0.013017088734206553
BCUTi-1l,0.012535018894756628
PEOE_VSA9,0.01235164098410908
Xch-5dv,0.011832123285068653
AETA_eta,0.010572208445167014
FilterItLogS,0.010316418809835623
n6aHRing,0.010309674436626863
MATS6s,0.010135602415451516
AATSC6Z,0.009958281370002294
Xch-7dv,0.009839941147089548
ATSC4v,0.0094357177638838
GATS7i,0.009363825782857159
VE1_A,0.008973673534153973
AATSC3pe,0.00878174797671139
ATSC5p,0.00801319699166493
GATS8dv,0.0075215362875677965
ATSC6Z,0.007321480563596443
