feature,mean_abs_shap
AMID_N,0.02654190377895248
ATSC2s,0.024253720373072545
ETA_dEpsilon_D,0.019936399980253972
naHRing,0.01291005323526735
SlogP_VSA11,0.011968376664261014
AATS1i,0.01075641961957006
GATS4dv,0.010011554154439455
AATSC3v,0.009835477091839413
EState_VSA9,0.009760384452616561
GATS7s,0.009419548998025851
n6Ring,0.009382604793752226
n10FARing,0.008743168611509986
MATS5s,0.008720836115218004
EState_VSA10,0.00860189250120361
IC2,0.008339730594281685
GATS7i,0.007551131412876354
GATS3c,0.00719036581397431
C3SP3,0.007173602389478048
MDEC-23,0.006994698795841988
AATSC7se,0.006991338056480361
