feature,mean_abs_shap
SLogP,0.02858971910843259
TopoPSA(NO),0.02845397711599777
FilterItLogS,0.024341344212184906
nBase,0.017847375231741482
ATSC8i,0.015829308348066156
VSA_EState5,0.01551349959926124
JGI2,0.014910507779061872
VSA_EState6,0.01262905207283312
JGI4,0.011675415947224013
RNCG,0.011031951100310158
PEOE_VSA6,0.010965791482575071
AATSC3c,0.010350673964006369
GATS6c,0.0093974873342589
GATS3c,0.009258934243134518
GATS1s,0.009179375467327677
RotRatio,0.008590160042010474
GATS5c,0.00800786939620784
PEOE_VSA10,0.007902500434520324
SdssC,0.007727834020157663
SssCH2,0.007684303817284038
